                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.97182,                 1.8824,                 1.4045,                0.57935,                 0.6031,                0.65475,                0.49445,                 1.0314,                 1.7071,                  1.458,              0.0088615,              0.0088615,              0.0088615
                    118,                0.96343,                 1.8648,                 1.3965,                  0.581,                0.60343,                0.65596,                0.49451,                  1.031,                 1.7047,                 1.4574,              0.0088516,              0.0088516,              0.0088516
                    119,                0.96284,                 1.8588,                 1.4009,                0.57801,                0.60204,                 0.6548,                0.49345,                 1.0311,                  1.704,                 1.4575,              0.0088417,              0.0088417,              0.0088417
                    120,                0.97067,                 1.8445,                 1.4011,                0.58293,                0.60038,                0.65418,                0.49383,                 1.0316,                  1.702,                 1.4584,              0.0088318,              0.0088318,              0.0088318
                    121,                0.96108,                 1.8404,                 1.3937,                0.58676,                0.59958,                 0.6553,                0.49436,                 1.0318,                 1.6977,                 1.4584,              0.0088219,              0.0088219,              0.0088219
                    122,                0.96446,                 1.8547,                 1.3959,                0.58782,                0.60025,                 0.6551,                 0.4939,                 1.0303,                 1.7014,                 1.4557,               0.008812,               0.008812,               0.008812
                    123,                0.96072,                 1.8426,                 1.3929,                0.60073,                0.60187,                0.66073,                0.49752,                  1.031,                 1.6974,                 1.4564,              0.0088021,              0.0088021,              0.0088021
                    124,                0.96218,                 1.8345,                 1.3938,                0.59809,                0.60668,                0.66265,                0.49839,                 1.0314,                  1.695,                 1.4559,              0.0087922,              0.0087922,              0.0087922
                    125,                0.95816,                 1.8363,                 1.3931,                 0.5997,                0.60587,                0.66299,                0.49881,                 1.0312,                  1.694,                  1.456,              0.0087823,              0.0087823,              0.0087823
                    126,                0.96389,                 1.8273,                 1.3913,                0.59837,                0.60609,                0.66361,                0.49826,                 1.0306,                 1.6923,                 1.4557,              0.0087724,              0.0087724,              0.0087724
                    127,                0.95478,                 1.8273,                 1.3896,                0.59944,                0.60831,                0.66498,                0.50282,                 1.0295,                 1.6906,                 1.4527,              0.0087625,              0.0087625,              0.0087625
                    128,                0.95647,                 1.8227,                 1.3902,                0.60182,                0.60755,                0.66446,                0.50245,                 1.0278,                 1.6892,                  1.452,              0.0087526,              0.0087526,              0.0087526
                    129,                0.95715,                 1.8174,                 1.3879,                0.59965,                0.60871,                  0.669,                0.50597,                  1.028,                 1.6888,                 1.4522,              0.0087427,              0.0087427,              0.0087427
                    130,                0.95411,                 1.8163,                  1.389,                0.58989,                0.61316,                 0.6699,                0.50534,                 1.0297,                  1.689,                 1.4543,              0.0087328,              0.0087328,              0.0087328
                    131,                0.95522,                 1.8173,                 1.3874,                0.58865,                0.61055,                0.67006,                0.50402,                 1.0296,                 1.6899,                 1.4541,              0.0087229,              0.0087229,              0.0087229
                    132,                0.94999,                 1.7883,                  1.381,                0.58957,                0.61029,                0.66829,                0.50477,                 1.0308,                 1.6851,                 1.4548,               0.008713,               0.008713,               0.008713
                    133,                0.95078,                 1.7988,                 1.3809,                0.58893,                0.61048,                0.66897,                0.50548,                 1.0295,                 1.6845,                 1.4535,              0.0087031,              0.0087031,              0.0087031
                    134,                0.95516,                 1.8095,                 1.3871,                0.64098,                0.56954,                0.66831,                0.50515,                 1.0294,                 1.6819,                 1.4528,              0.0086932,              0.0086932,              0.0086932
